2D,3D,4D,answer,type
"In triangle ABC, let D be a point on line AB. Are points A, D, and B collinear?","In tetrahedron ABCD, let E be a point in plane ABC. Are points A, E, B, and C coplanar?","In 5-cell ABCDE, let F be a point in 3D hyperplane ABCD. Are points A, B, C, D, and F cohyperplanar?",A,3
"In rectangle ABCD, what is the relationship between line BC and line AC?","In rectangular solid ABCD-EFGH, what is the relationship between plane BCGF and plane ACEG?","In tesseract (ABCD-EFGH)-(IJKL-MNOP), what is the relationship between 3D hyperplane BCGF-JKON and 3D hyperplane ACEG-IKMO?",C,1
"In triangle ABC, let I be the incenter of triangle ABC. What is the relationship between line AI and line BC?","In tetrahedron ABCD, let I be the incenter of tetrahedron ABCD. What is the relationship between line AI and plane BCD?","In 5-cell ABCDE, let I be the incenter of 5-cell ABCDE. What is the relationship between line AI and 3D hyperplane BCDE?",D,1
"In rectangle ABCD, do lines BD and CD intersect?","In rectangular solid ABCD-EFGH, do planes BDFH and CDHG intersect?","In tesseract (ABCD-EFGH)-(IJKL-MNOP), do 3D hyperplanes BDFH-JLNP and CDHG-KLOP intersect?",A,2
Line m lies in the plane of circle O and passes through a point inside circle O but not through the center. Does line m intersect circle O?,Plane Q in space meets sphere O at a circle not through the center. Does plane Q intersect sphere O?,3D hyperplane R in 4D meets 3-sphere O in a sphere not through the center. Does 3D hyperplane R intersect the 3-sphere O?,A,2
"In triangle ABC, let D be a point on side AB. Are points A, D, and B collinear?","In tetrahedron ABCD, let E be a point in face ABC. Are points A, E, B, and C coplanar?","In 5-cell ABCDE, let F be a point in 3D hyperplane ABCD. Are points A, B, C, D, and F cohyperplanar?",A,3
"In rectangle ABCD, let M be the midpoint of side AB. Are points A, M, and B collinear?","In rectangular solid ABCD-EFGH, let M be the center of face ABFE. Are points A, B, E, and M coplanar?","In tesseract (ABCD-EFGH)-(IJKL-MNOP), let M be the center of 3D hyperplane ABFE-IJNM. Are points A, B, E, I, and M cohyperplanar?",A,3
"On circle O, let A and B be endpoints of a chord not passing through O. Is point O on line AB?","On sphere O, let A, B, and C be vertices of a triangular face not through O. Is point O in plane ABC?","On 3-sphere O, let A, B, C, and D be vertices of a tetrahedral cell not through O. Is point O in 3D hyperplane ABCD?",B,3
"On circle O, let A be a point on the circle and let P be any point in the plane. Are points O, A, and P collinear?","On sphere O, let A be a point on the sphere and let P be any point in space. Are points O, A, B, and P coplanar?","On 3-sphere O, let A be a point on the 3-sphere and let P be any point in 4D space. Are points O, A, B, C, and P cohyperplanar?",C,3
"In rectangle ABCD, does line BC intersect line AD?","In rectangular solid ABCD-EFGH, do plane BCGF and plane ADHE intersect?","In tesseract (ABCD-EFGH)-(IJKL-MNOP), do 3D hyperplanes BCGF-JKON and ADHE-ILPM intersect?",B,2
"In triangle ABC, does line AB intersect line BC?","In tetrahedron ABCD, do plane ABC and plane BCD intersect?","In 5-cell ABCDE, do 3D hyperplanes ABCD and BCDE intersect?",A,2
"In triangle ABC, let D be a point on side BC. Does line AD intersect line BC?","In tetrahedron ABCD, let E be a point in face BCD. Does plane ABE intersect plane BCD?","In 5-cell ABCDE, let F be a point in 3D hyperplane BCDE. Does 3D hyperplane ABCF intersect 3D hyperplane BCDE?",A,2
"In triangle ABC, let M be the midpoint of side AC. Does line BM intersect line AC?","In tetrahedron ABCD, let M be the centroid of face ACD. Does line BM intersect plane ACD?","In 5-cell ABCDE, let M be the centroid of 3D hyperplane ACDE. Does line BM intersect 3D hyperplane ACDE?",A,2
Line s lies in the plane of circle O and does not meet circle O. Does line s intersect circle O?,Plane U in space does not meet sphere O. Does plane U intersect sphere O?,3D hyperplane V in 4D does not meet the 3-sphere O. Does 3D hyperplane V intersect the 3-sphere O?,B,2
Line q is tangent to circle O at point A. Does line q intersect line OA?,Plane Q is tangent to sphere O at point A. Does plane Q intersect line OA?,3D hyperplane Q is tangent to 3-sphere O at point A. Does 3D hyperplane Q intersect line OA?,A,2
"Line t is tangent to circle O at point A. What is the relationship between line t and line AB, where B is any other point on line OA?","Plane T is tangent to sphere O at point A. What is the relationship between plane T and line AB, where B is any other point on line OA?","3D hyperplane T is tangent to 3-sphere O at point A. What is the relationship between 3D hyperplane T and line AB, where B is any other point on line OA?",B,1
"In triangle ABC, let D be a point on side BC. What is the relationship between line AD and line BC?","In tetrahedron ABCD, let E be a point in face BCD. What is the relationship between line AE and plane BCD?","In 5-cell ABCDE, let F be a point in 3D hyperplane BCDE. What is the relationship between line AF and 3D hyperplane BCDE?",C,2
"In rectangle ABCD, do diagonal line AC and side line CD intersect?","In rectangular solid ABCD-EFGH, do plane ACEG and plane CDHG intersect?","In tesseract (ABCD-EFGH)-(IJKL-MNOP), do 3D hyperplanes ACEG-IKMO and CDHG-KLOP intersect?",A,2
Line m lies in the plane of circle O and is tangent to circle O at point P. Does line m intersect circle O?,Plane M is tangent to sphere O at point P. Does plane M intersect sphere O?,3D hyperplane M is tangent to 3-sphere O at point P. Does 3D hyperplane M intersect the 3-sphere O?,A,2
Line n lies in the plane of circle O and does not meet the circle. Does line n intersect circle O?,Plane N in space does not meet sphere O. Does plane N intersect sphere O?,3D hyperplane N in 4D does not meet the 3-sphere O. Does 3D hyperplane N intersect the 3-sphere O?,B,2
Line p lies in the plane of circle O and passes through the center O. Does line p intersect circle O?,Plane P in space passes through the center O of sphere O. Does plane P intersect sphere O?,3D hyperplane P in 4D passes through the center O of the 3-sphere O. Does 3D hyperplane P intersect the 3-sphere O?,A,2
"In rectangle ABCD, let M be the midpoint of side BC. Are points B, M, and C collinear?","In rectangular solid ABCD-EFGH, let M be the center of face BCGF. Are points B, C, G, and M coplanar?","In tesseract (ABCD-EFGH)-(IJKL-MNOP), let M be the center of 3D hyperplane BCGF-JKON. Are points B, C, G, J, and M cohyperplanar?",A,3
"In triangle ABC, let G be the centroid of triangle ABC. Are points A, G, and B collinear?","In tetrahedron ABCD, let G be the centroid of tetrahedron ABCD. Are points A, B, C, and G coplanar?","In 5-cell ABCDE, let G be the centroid of 5-cell ABCDE. Are points A, B, C, D, and G cohyperplanar?",C,3
"On circle O, let A and B be endpoints of a diameter. Is point O on line AB?","On sphere O, let A, B, and C be points such that plane ABC passes through O. Is point O in plane ABC?","On 3-sphere O, let A, B, C, and D be points such that 3D hyperplane ABCD passes through O. Is point O in 3D hyperplane ABCD?",A,3
"In rectangle ABCD, let O be the intersection point of diagonals AC and BD. Are points B, O, and D collinear?","In rectangular solid ABCD-EFGH, let O be the center of the solid. Are points B, D, F, and O coplanar?","In tesseract (ABCD-EFGH)-(IJKL-MNOP), let O be the center of the tesseract. Are points B, D, F, J, and O cohyperplanar?",A,3
"In rectangle ABCD, what is the relationship between line AC and line BD?","In rectangular solid ABCD-EFGH, do planes ACEG and BDFH intersect?","In tesseract (ABCD-EFGH)-(IJKL-MNOP), do 3D hyperplanes ACEG-IKMO and BDFH-JLNP intersect?",A,2
"In rectangle ABCD, do lines AC and AB intersect?","In rectangular solid ABCD-EFGH, do planes ACEG and ABFE intersect?","In tesseract (ABCD-EFGH)-(IJKL-MNOP), do 3D hyperplanes ACEG-IKMO and ABFE-IJNM intersect?",A,2
"In rectangle ABCD, do lines AC and EF intersect?","In rectangular solid ABCD-EFGH, do planes ABCD and EFGH intersect?","In tesseract (ABCD-EFGH)-(IJKL-MNOP), do 3D hyperplanes ABCD-EFGH and IJKL-MNOP intersect?",B,2
"In triangle ABC, let H be the foot of the altitude from C to line AB. What is the relationship between line CH and line AB?","In tetrahedron ABCD, let H be the foot of the altitude from D to plane ABC. What is the relationship between line DH and plane ABC?","In 5-cell ABCDE, let H be the foot of the altitude from E to 3D hyperplane ABCD. What is the relationship between line EH and 3D hyperplane ABCD?",B,1
"In triangle ABC, let H be the foot of the altitude from C to line AB. Does line CH intersect line AB?","In tetrahedron ABCD, let H be the foot of the altitude from D to plane ABC. Does line DH intersect plane ABC?","In 5-cell ABCDE, let H be the foot of the altitude from E to 3D hyperplane ABCD. Does line EH intersect 3D hyperplane ABCD?",A,2
"In triangle ABC, let M be the midpoint of side AB. Are points A, M, and B collinear?","In tetrahedron ABCD, let M be the centroid of face ABC. Are points A, B, C, and M coplanar?","In 5-cell ABCDE, let M be the centroid of 3D hyperplane ABCD. Are points A, B, C, D, and M cohyperplanar?",A,3
Line t is tangent to circle O at point A. Does line t intersect line OA?,Plane T is tangent to sphere O at point A. Does plane T intersect line OA?,3D hyperplane T is tangent to 3-sphere O at point A. Does 3D hyperplane T intersect line OA?,A,2
Line d passes through the center O of circle O. What is the relationship between line d and circle O?,Plane D passes through the center O of sphere O. What is the relationship between plane D and sphere O?,3D hyperplane D passes through the center O of the 3-sphere O. What is the relationship between 3D hyperplane D and the 3-sphere O?,C,1
Line e lies in the plane of circle O and stays outside circle O. What is the relationship between line e and circle O?,Plane E in space stays outside sphere O. What is the relationship between plane E and sphere O?,3D hyperplane E in 4D stays outside the 3-sphere O. What is the relationship between 3D hyperplane E and the 3-sphere O?,D,1
Line d passes through the center O of circle O. Does line d intersect circle O?,Plane D passes through the center O of sphere O. Does plane D intersect sphere O?,3D hyperplane D passes through the center O of the 3-sphere O. Does 3D hyperplane D intersect the 3-sphere O?,A,2
Line e lies in the plane of circle O and stays outside circle O. Does line e intersect circle O?,Plane E in space stays outside sphere O. Does plane E intersect sphere O?,3D hyperplane E in 4D stays outside the 3-sphere O. Does 3D hyperplane E intersect the 3-sphere O?,B,2
"On circle O, let A and B be endpoints of a chord that is not a diameter. Is point O on line AB?","On sphere O, let A, B, and C be points on the sphere such that plane ABC does not pass through O. Is point O in plane ABC?","On 3-sphere O, let A, B, C, and D be points on the 3-sphere such that 3D hyperplane ABCD does not pass through O. Is point O in 3D hyperplane ABCD?",B,3
"On circle O, let A be a point on the circle and let P be any point in the plane. Are points O, A, and P collinear?","On sphere O, let A, B, and C be points on the sphere and let P be any point in space. Are points O, A, B, and P coplanar?","On 3-sphere O, let A, B, C, and D be points on the 3-sphere and let P be any point in 4D space. Are points O, A, B, C, and P cohyperplanar?",C,3
"In rectangle ABCD, what is the relationship between line AB and line CE?","In rectangular solid ABCD-EFGH, what is the relationship between plane ABFE and plane CEG?","In tesseract (ABCD-EFGH)-(IJKL-MNOP), what is the relationship between 3D hyperplane ABFE-IJNM and 3D hyperplane CEGK-MO?",D,1
"In triangle ABC, let D be the midpoint of side BC. What is the relationship between line AD and line BC?","In tetrahedron ABCD, let E be the centroid of face BCD. What is the relationship between line AE and plane BCD?","In 5-cell ABCDE, let F be the centroid of 3D hyperplane BCDE. What is the relationship between line AF and 3D hyperplane BCDE?",A,2
Line l is tangent to circle O at point A. What is the relationship between line l and circle O?,Plane P is tangent to sphere O at point A. What is the relationship between plane P and sphere O?,3D hyperplane R is tangent to 3-sphere O at point A. What is the relationship between 3D hyperplane R and the 3-sphere O?,A,2
Line m lies in the plane of circle O and passes through the center O. What is the relationship between line m and circle O?,Plane M passes through the center O of sphere O. What is the relationship between plane M and sphere O?,3D hyperplane M passes through the center O of the 3-sphere O. What is the relationship between 3D hyperplane M and the 3-sphere O?,A,2
Line n lies in the plane of circle O but no information is given about its position. Does line n intersect circle O?,Plane N in space has no stated position relative to sphere O. Does plane N intersect sphere O?,3D hyperplane N in 4D has no stated position relative to the 3-sphere O. Does 3D hyperplane N intersect the 3-sphere O?,C,2
"In rectangle ABCD, let P be the intersection point of diagonals AC and BD. Are points A, P, and C collinear?","In rectangular solid ABCD-EFGH, let P be the center of face ACEG. Are points A, C, E, and P coplanar?","In tesseract (ABCD-EFGH)-(IJKL-MNOP), let P be the center of 3D hyperplane ACEG-IKMO. Are points A, C, E, I, and P cohyperplanar?",A,3
"In rectangle ABCD, let X be any point in the plane. Are points A, B, and X collinear?","In rectangular solid ABCD-EFGH, let X be any point in space. Are points A, B, E, and X coplanar?","In tesseract (ABCD-EFGH)-(IJKL-MNOP), let X be any point in 4D space. Are points A, B, E, I, and X cohyperplanar?",C,3
"On circle O, let A and B be endpoints of a diameter. Are points A, O, and B collinear?","On sphere O, let triangle ABC lie in a plane through O. Are points A, B, C, and O coplanar?","On 3-sphere O, let tetrahedron ABCD lie in a 3D hyperplane through O. Are points A, B, C, D, and O cohyperplanar?",A,3
"On circle O, let A and B be endpoints of a chord that is not a diameter. Are points A, O, and B collinear?","On sphere O, let triangle ABC lie in a plane that does not pass through O. Are points A, B, C, and O coplanar?","On 3-sphere O, let tetrahedron ABCD lie in a 3D hyperplane that does not pass through O. Are points A, B, C, D, and O cohyperplanar?",B,3
"In triangle ABC, let M be the midpoint of side BC. Are points B, M, and C collinear?","In tetrahedron ABCD, let M be the centroid of face BCD. Are points B, C, D, and M coplanar?","In 5-cell ABCDE, let M be the centroid of 3D hyperplane BCDE. Are points B, C, D, E, and M cohyperplanar?",A,3
Line p is tangent to circle O at point T. What is the relationship between line p and line OT?,Plane P is tangent to sphere O at point T. What is the relationship between plane P and line OT?,3D hyperplane P is tangent to 3-sphere O at point T. What is the relationship between 3D hyperplane P and line OT?,B,1
"In rectangle ABCD, what is the relationship between line AB and line CD?","In rectangular solid ABCD-EFGH, what is the relationship between plane ABFE and plane CDHG?","In tesseract (ABCD-EFGH)-(IJKL-MNOP), what is the relationship between 3D hyperplane ABFE-IJNM and 3D hyperplane CDHG-KLOP?",A,1
"In triangle ABC, let H be the foot of the altitude from A to line BC. Does line AH intersect line BC?","In tetrahedron ABCD, let H be the foot of the altitude from A to plane BCD. Does line AH intersect plane BCD?","In 5-cell ABCDE, let H be the foot of the altitude from A to 3D hyperplane BCDE. Does line AH intersect 3D hyperplane BCDE?",A,2
"In triangle ABC, let G be the centroid of triangle ABC. Are points A, C, and G collinear?","In tetrahedron ABCD, let G be the centroid of tetrahedron ABCD. Are points A, C, D, and G coplanar?","In 5-cell ABCDE, let G be the centroid of 5-cell ABCDE. Are points A, C, D, E, and G cohyperplanar?",C,3
Line r lies in the plane of circle O and passes through point P on the circle but is not tangent at P. Does line r intersect circle O?,Plane R passes through point P on sphere O but is not tangent at P. Does plane R intersect sphere O?,3D hyperplane R passes through point P on 3-sphere O but is not tangent at P. Does 3D hyperplane R intersect the 3-sphere O?,A,2
"In triangle ABC, let M be the midpoint of side AC. Does line BM intersect line AC?","In tetrahedron ABCD, let M be the midpoint of edge AC. Does plane BDM intersect line AC?","In 5-cell ABCDE, let M be the midpoint of edge AC. Does 3D hyperplane BDEM intersect plane ACE?",A,2
Line s lies in the plane of circle O. What is the relationship between line s and circle O?,Plane S in space has no stated position relative to sphere O. What is the relationship between plane S and sphere O?,3D hyperplane S in 4D has no stated position relative to the 3-sphere O. What is the relationship between 3D hyperplane S and the 3-sphere O?,C,2
Line u lies in the plane of circle O and is tangent to circle O at point T. Does line u intersect circle O?,Plane U is tangent to sphere O at point T. Does plane U intersect sphere O?,3D hyperplane U is tangent to 3-sphere O at point T. Does 3D hyperplane U intersect the 3-sphere O?,A,2
"In rectangle ABCD, let N be the midpoint of side AB. Are points A, N, and D collinear?","In rectangular solid ABCD-EFGH, let N be the midpoint of edge AB. Are points A, N, D, and H coplanar?","In tesseract (ABCD-EFGH)-(IJKL-MNOP), let N be the midpoint of edge AB. Are points A, N, D, H, and L cohyperplanar?",A,3
"In triangle ABC, let G be the centroid of triangle ABC. Are points B, G, and C collinear?","In tetrahedron ABCD, let G be the centroid of tetrahedron ABCD. Are points B, C, G, and D coplanar?","In 5-cell ABCDE, let G be the centroid of 5-cell ABCDE. Are points B, C, D, G, and E cohyperplanar?",A,3
"On circle O, let A and B be endpoints of a diameter. Is point O on line AC, where C is any point on the circle not on line AB?","On sphere O, let A, B, C, and D be points on the sphere with plane ACD not passing through O. Is point O in plane ACD?","On 3-sphere O, let A, B, C, D, and E be points on the 3-sphere with 3D hyperplane ACDE not passing through O. Is point O in 3D hyperplane ACDE?",B,3
"In rectangle ABCD, let X be the intersection point of diagonals AC and BD. Are points A, X, and B collinear?","In rectangular solid ABCD-EFGH, let X be the center of the solid. Are points A, B, E, and X coplanar?","In tesseract (ABCD-EFGH)-(IJKL-MNOP), let X be the center of the tesseract. Are points A, B, E, I, and X cohyperplanar?",A,3
Line v lies in the plane of circle O and passes through the center O. Is point O on line v?,Plane V in space passes through the center O of sphere O. Is point O in plane V?,3D hyperplane V in 4D passes through the center O of the 3-sphere O. Is point O in 3D hyperplane V?,A,3
"In rectangle ABCD, let P be any point in the plane. Are points A, C, and P collinear?","In rectangular solid ABCD-EFGH, let P be any point in space. Are points A, C, E, and P coplanar?","In tesseract (ABCD-EFGH)-(IJKL-MNOP), let P be any point in 4D space. Are points A, C, E, I, and P cohyperplanar?",C,3
"On circle O, let A and B be endpoints of a chord that is not a diameter. Are points A, O, and B collinear?","On sphere O, let A, B, and C be points on the sphere such that plane ABC does not pass through O. Are points A, B, C, and O coplanar?","On 3-sphere O, let A, B, C, and D be points on the 3-sphere such that 3D hyperplane ABCD does not pass through O. Are points A, B, C, D, and O cohyperplanar?",B,3
"In triangle ABC, let D be a point on line BC outside segment BC. Are points B, D, and C collinear?","In tetrahedron ABCD, let E be a point in plane BCD but outside triangle BCD. Are points B, C, D, and E coplanar?","In 5-cell ABCDE, let F be a point in 3D hyperplane BCDE but outside tetrahedron BCDE. Are points B, C, D, E, and F cohyperplanar?",A,3
Line w lies in the plane of circle O but no information is given about its position. Is point O on line w?,Plane W in space has no stated position relative to sphere O. Is point O in plane W?,3D hyperplane W in 4D has no stated position relative to the 3-sphere O. Is point O in 3D hyperplane W?,C,3
"In rectangle ABCD, what is the relationship between line AB and line BC?","In rectangular solid ABCD-EFGH, what is the relationship between plane ABCD and plane ABFE?","In tesseract (ABCD-EFGH)-(IJKL-MNOP), what is the relationship between 3D hyperplane ABCD-EFGH and 3D hyperplane ABFE-IJNM?",B,1
"In rectangle ABCD, what is the relationship between line AC and line BD?","In rectangular solid ABCD-EFGH, what is the relationship between plane ACFG and plane BCEH?","In tesseract (ABCD-EFGH)-(IJKL-MNOP), what is the relationship between 3D hyperplane ACFG-IKNO and 3D hyperplane BCEH-JKMP?",C,1
"In triangle ABC, let M be the midpoint of side AB. What is the relationship between line CM and line AB?","In tetrahedron ABCD, let M be the centroid of face ABC. What is the relationship between line DM and plane ABC?","In 5-cell ABCDE, let M be the centroid of 3D hyperplane ABCD. What is the relationship between line EM and 3D hyperplane ABCD?",D,1
"In triangle ABC, let G be the centroid of triangle ABC. What is the relationship between line AG and line BC?","In tetrahedron ABCD, let G be the centroid of tetrahedron ABCD. What is the relationship between line AG and plane BCD?","In 5-cell ABCDE, let G be the centroid of 5-cell ABCDE. What is the relationship between line AG and 3D hyperplane BCDE?",D,1
Line t is tangent to circle O at point A. What is the relationship between line t and circle O?,Plane T is tangent to sphere O at point A. What is the relationship between plane T and sphere O?,3D hyperplane T is tangent to 3-sphere O at point A. What is the relationship between 3D hyperplane T and the 3-sphere O?,A,2
"Line q lies in the plane of circle O and passes through point A on the circle, but q is not tangent at A. Does line q intersect circle O?","Plane Q passes through point A on sphere O, but Q is not tangent at A. Does plane Q intersect sphere O?","3D hyperplane Q passes through point A on 3-sphere O, but Q is not tangent at A. Does 3D hyperplane Q intersect the 3-sphere O?",A,2
"In triangle ABC, let H be the foot of the altitude from B to line AC. Does line BH intersect line AC?","In tetrahedron ABCD, let H be the foot of the altitude from B to plane ACD. Does line BH intersect plane ACD?","In 5-cell ABCDE, let H be the foot of the altitude from B to 3D hyperplane ACDE. Does line BH intersect 3D hyperplane ACDE?",A,2
"Line s lies in the plane of circle O, but no position of s relative to the circle is given. Does line s intersect circle O?",Plane S in space has no stated position relative to sphere O. Does plane S intersect sphere O?,3D hyperplane S in 4D has no stated position relative to the 3-sphere O. Does 3D hyperplane S intersect the 3-sphere O?,C,2
"On circle O, let A and B be endpoints of a diameter. Is point O on line AB?","On sphere O, let triangle ABC lie in a plane through O. Is point O in plane ABC?","On 3-sphere O, let tetrahedron ABCD lie in a 3D hyperplane through O. Is point O in 3D hyperplane ABCD?",A,3
"In triangle ABC, let D be a point on line AB outside segment AB. Are points A, D, and B collinear?","In tetrahedron ABCD, let E be a point in plane ABC but outside triangle ABC. Are points A, B, C, and E coplanar?","In 5-cell ABCDE, let F be a point in 3D hyperplane ABCD but outside tetrahedron ABCD. Are points A, B, C, D, and F cohyperplanar?",A,3
"In rectangle ABCD, let P be any point in the plane. Are points A, B, and P collinear?","In rectangular solid ABCD-EFGH, let P be any point in space. Are points A, B, E, and P coplanar?","In tesseract (ABCD-EFGH)-(IJKL-MNOP), let P be any point in 4D space. Are points A, B, E, I, and P cohyperplanar?",C,3
"On circle O, let A be a point on the circle and let X be any point in the plane. Are points O, A, and X collinear?","On sphere O, let A, B, and C be points on the sphere and let X be any point in space. Are points O, A, B, and X coplanar?","On 3-sphere O, let A, B, C, and D be points on the 3-sphere and let X be any point in 4D space. Are points O, A, B, C, and X cohyperplanar?",C,3
"In rectangle ABCD, what is the relationship between line AC and line AB?","In rectangular solid ABCD-EFGH, what is the relationship between plane ACFG and plane ABCD?","In tesseract (ABCD-EFGH)-(IJKL-MNOP), what is the relationship between 3D hyperplane ACFG-IKNO and 3D hyperplane ABCD-EFGH?",C,1
"In rectangle ABCD, what is the relationship between line AC and line BC?","In rectangular solid ABCD-EFGH, what is the relationship between plane AECG and plane BCGF?","In tesseract (ABCD-EFGH)-(IJKL-MNOP), what is the relationship between 3D hyperplane AECG-IMOK and 3D hyperplane BCGF-JKNO?",D,1
"In triangle ABC, let D be the midpoint of side AB. Does line CD intersect line AB?","In tetrahedron ABCD, let E be the centroid of face ABC. Does line DE intersect plane ABC?","In 5-cell ABCDE, let F be the centroid of 3D hyperplane ABCD. Does line EF intersect 3D hyperplane ABCD?",A,2
"In triangle ABC, let E be the foot of the altitude from C to line AB. What is the relationship between line CE and line AB?","In tetrahedron ABCD, let E be the foot of the altitude from D to plane ABC. What is the relationship between line DE and plane ABC?","In 5-cell ABCDE, let F be the foot of the altitude from E to 3D hyperplane ABCD. What is the relationship between line EF and 3D hyperplane ABCD?",A,2
Line l lies in the plane of circle O and is outside circle O. Does line l intersect circle O?,Plane P is outside sphere O. Does plane P intersect sphere O?,3D hyperplane R is outside the 3-sphere O. Does 3D hyperplane R intersect the 3-sphere O?,B,2
Line m lies in the plane of circle O and passes through the center O. Does line m intersect circle O?,Plane M passes through the center O of sphere O. Does plane M intersect sphere O?,3D hyperplane M passes through the center O of the 3-sphere O. Does 3D hyperplane M intersect the 3-sphere O?,A,2
Line n lies in the plane of circle O and is tangent to circle O at point A. What is the relationship between line n and line OA?,Plane N is tangent to sphere O at point A. What is the relationship between plane N and line OA?,3D hyperplane N is tangent to 3-sphere O at point A. What is the relationship between 3D hyperplane N and line OA?,B,1
"In rectangle ABCD, let X be the intersection point of diagonals AC and BD. Are points A, X, and C collinear?","In rectangular solid ABCD-EFGH, let X be the center of face AECG. Are points A, E, C, and X coplanar?","In tesseract (ABCD-EFGH)-(IJKL-MNOP), let X be the center of 3D hyperplane AECG-IMOK. Are points A, E, C, I, and X cohyperplanar?",A,3
"In triangle ABC, let D be a point on line AC outside segment AC. Are points A, D, and C collinear?","In tetrahedron ABCD, let E be a point in plane ACD but outside triangle ACD. Are points A, C, D, and E coplanar?","In 5-cell ABCDE, let F be a point in 3D hyperplane ACDE but outside tetrahedron ACDE. Are points A, C, D, E, and F cohyperplanar?",A,3
"On circle O, let A and B be endpoints of a chord that is not a diameter. Is point O on line AB?","On sphere O, let triangle ABC lie in a plane that does not pass through O. Is point O in plane ABC?","On 3-sphere O, let tetrahedron ABCD lie in a 3D hyperplane that does not pass through O. Is point O in 3D hyperplane ABCD?",B,3
"On circle O, let A and B be endpoints of a diameter. Is point O on line AB?","On sphere O, let A, B, and C be points on a great circle of sphere O. Is point O in plane ABC?","On 3-sphere O, let A, B, C, and D be points on a great 2-sphere of the 3-sphere O. Is point O in 3D hyperplane ABCD?",A,3
"In rectangle ABCD, let Y be any point in the plane. Are points B, D, and Y collinear?","In rectangular solid ABCD-EFGH, let Y be any point in space. Are points B, D, F, and Y coplanar?","In tesseract (ABCD-EFGH)-(IJKL-MNOP), let Y be any point in 4D space. Are points B, D, F, J, and Y cohyperplanar?",C,3
"In rectangle ABCD, what is the relationship between line BD and line CD?","In rectangular solid ABCD-EFGH, what is the relationship between plane BDHF and plane CDHG?","In tesseract (ABCD-EFGH)-(IJKL-MNOP), what is the relationship between 3D hyperplane BDHF-JLPN and 3D hyperplane CDHG-KLOP?",C,1
"In triangle ABC, let M be the midpoint of side BC. Does line AM intersect line BC?","In tetrahedron ABCD, let M be the centroid of face BCD. Does line AM intersect plane BCD?","In 5-cell ABCDE, let M be the centroid of 3D hyperplane BCDE. Does line AM intersect 3D hyperplane BCDE?",A,2
"Line q lies in the plane of circle O. What is the relationship between line q and line OA, where A is a point on the circle?","Plane Q is in space. What is the relationship between plane Q and line OA, where A is a point on sphere O?","3D hyperplane Q is in 4D space. What is the relationship between 3D hyperplane Q and line OA, where A is a point on the 3-sphere O?",D,1
"On circle O, let T be the point of tangency of line p. Is point T on line p?","On sphere O, let T be the point of tangency of plane P. Is point T in plane P?","On 3-sphere O, let T be the point of tangency of 3D hyperplane P. Is point T in 3D hyperplane P?",A,3
"In rectangle ABCD, what is the relationship between line AB and line BD?","In rectangular solid ABCD-EFGH, what is the relationship between plane ABFE and plane BDHF?","In tesseract (ABCD-EFGH)-(IJKL-MNOP), what is the relationship between 3D hyperplane ABFE-IJNM and 3D hyperplane BDHF-JLPN?",C,1
"In triangle ABC, let D be any point not stated to lie on line AB. What is the relationship between line CD and line AB?","In tetrahedron ABCD, let E be any point not stated to lie in plane ABC. What is the relationship between plane CDE and plane ABC?","In 5-cell ABCDE, let F be any point not stated to lie in 3D hyperplane ABCD. What is the relationship between 3D hyperplane CDEF and 3D hyperplane ABCD?",D,1
"In triangle ABC, let M be the midpoint of side BC. What is the relationship between line AM and line BC?","In tetrahedron ABCD, let M be the centroid of face BCD. What is the relationship between line AM and plane BCD?","In 5-cell ABCDE, let M be the centroid of 3D hyperplane BCDE. What is the relationship between line AM and 3D hyperplane BCDE?",A,2
"In rectangle ABCD, do diagonals AC and BD intersect?","In rectangular solid ABCD-EFGH, do planes AECG and BDFH intersect?","In tesseract (ABCD-EFGH)-(IJKL-MNOP), do 3D hyperplanes AECG-IMOK and BDFH-JLPN intersect?",A,2
Line p lies in the plane of circle O and is outside circle O. Does line p intersect circle O?,Plane P is outside sphere O. Does plane P intersect sphere O?,3D hyperplane P is outside the 3-sphere O. Does 3D hyperplane P intersect the 3-sphere O?,B,2
"Line r lies in the plane of circle O, but no position of r relative to circle O is given. Does line r intersect circle O?",Plane R in space has no stated position relative to sphere O. Does plane R intersect sphere O?,3D hyperplane R in 4D has no stated position relative to the 3-sphere O. Does 3D hyperplane R intersect the 3-sphere O?,C,2
"In rectangle ABCD, do lines AC and CD intersect?","In rectangular solid ABCD-EFGH, do planes ACFG and CDHG intersect?","In tesseract (ABCD-EFGH)-(IJKL-MNOP), do 3D hyperplanes ACFG-IKNO and CDHG-KLOP intersect?",A,2
"Line s lies in the plane of circle O and passes through the center O, but no tangent condition is stated. Does line s intersect circle O?","Plane S passes through the center O of sphere O, but no tangent condition is stated. Does plane S intersect sphere O?","3D hyperplane S passes through the center O of the 3-sphere O, but no tangent condition is stated. Does 3D hyperplane S intersect the 3-sphere O?",A,2
"In rectangle ABCD, let X be the intersection point of diagonals AC and BD. Are points A, X, and C collinear?","In rectangular solid ABCD-EFGH, let X be the center of plane AECG. Are points A, E, C, and X coplanar?","In tesseract (ABCD-EFGH)-(IJKL-MNOP), let X be the center of 3D hyperplane AECG-IMOK. Are points A, E, C, I, and X cohyperplanar?",A,3
